Question,Answer
Acetaminophen,"Tylenol, Anti-pyretic/analgesic, Pain relief, OTC"
Menthol,"Bengay / Icy hot, Pain reliever, Pain reliever, OTC"
Methocarbamol,"Robaxin, Muscle Relaxer, Pain Relief, NCLM"
Cyclobenzaprine,"Flexeril, Muscle relaxer, Pain relief, NCLM"
INDICATION: MIGRAINE RELIEF,CLASS: 5HT1 Agonist
Sumatriptan,"Imitrex, 5HT1 Agonist, Migraine treatment, NCLM"
Acetaminophen / Butalbital,"Bupap, Pain reliever / relaxant, Migraine relief, Schedule III"
INDICATION: PAIN / INFLAMMATION,CLASS: NSAID (NON STEROIDAL ANTI-INFLAMMATORY DRUG
Ibuprofen,"Motrin, NSAID, Pain/Inflammation Relief, OTC and NCLM (strength)"
Aspirin,"N/A, NSAID/Anti-platelet, Pain-relief/Clot-prevention, OTC"
Meloxicam,"Mobic, NSAID, Pain/Inflammation Relief, NCLM"
Diclofenac,"Voltaren, NSAID, Pain/Inflammation Relief, OTC and NCLM as tablet"
Naproxen,"Aleve, NSAID, Pain/Inflammation Relief, OTC and NCLM (strength)"
Celecoxib,"Celebrex, COX-2 Selective NSAID, Pain/Inflammatio Relief, NCLM"
INDICATION: INFLAMMATORY,CLASS: CORTICOSTEROID
Prednisolone,"OraPred, Corticosteroid, Anti-inflammatory, NCLM"
Triamcinolone,"Kenalog, Corticosteroid, Anti-inflammatory, NCLM"
Hydrocortisone,"Cortizone, Corticosteroid, Anti-inflammatory, NCLM"
Methylprednisolone,"Medrol, Corticosteroid, Anti-inflammatory, NCLM"
Prednisone,"Deltasone, Corticosteroid, Inflammation, NCLM"
INDICATION: PAIN / SEIZURES,CLASS: ANTICONVULSANT
Gabapentin,"Neurontin, Anticonvulsant, Neuropathic pain/seizures, NCLM (Schedule V in some states)"
Pregabalin,"Lyrica, Anticonvulsant, Neuropathic Pain/Seizures, Schedule V"
INDICATIION: SEIZURES / ANTICONVULSANTS,CLASS: ANTI-CONVULSANTS
Lamotrigine,"Lamictal, Anticonvulsant, Siezure prevention, NCLM"
Divalproex Sodium,"Depakote, Anticonvulsant, Seizures/Mood disorders, NCLM"
Levetiracetam,"Keppra, AntiConvulsant, Seizures, NCLM"
Topiramate,"Topamax, Anticonvulsant, Seizures/Migraines, NCLM"
Carbamazepine,"Tegretol, Anti-Convulsant, Seizures, NCLM"
INDICATION: ANTIDEPRESSANT,CLASS: SSRI
Sertraline,"Zoloft, SSRI, Antidepressant, NCLM"
Citalopram,"Celexa, SSRI, Antidepressant, NCLM"
Fluoxetine,"Prozac, SSRI, Antidepressant, NCLM"
Paroxetine,"Paxil, SSRI, Antidepressant, NCLM"
Escitalopram,"Lexapro, SSRI, Antidepressant, NCLM"
INDICATION: ANTIDEPRESSANT,CLASS: SNRI
Venlafaxine,"Effexor, SNRI, Antidepressant, NCLM"
Duloxetine,"Cymbalta, SNRI, Antidepressant, NCLM"
INDICATION: ANTIDEPRESSANT,CLASS: TRI-CYCLIC ANTIDEPRESSANTS
Amitriptyline,"Elavil, Tri-Cyclic Antidepressant, Depression/Sleep, NCLM"
Nortriptyline,"Pamelor, Tri-Cyclic Antidepressant, Depression, NCLM"
INDICATION: ANTIDEPRESSANT,CLASS: OTHERS
Mirtazapine,"Remeron, Antidepressant, Depression, NCLM"
Bupropion,"Wellbutrin, Antidepressant, Depression, NCLM"
Trazodone,"Desyrel, Antidepressant, Depression, NCLM"
INDICATION: MOOD DISORDERS,CLASS: ANTI-PSYCHOTIC
Quetiapine Fumarate,"Seroquel, Antipsychotic, mood disorders, NCLM"
Aripiprazole,"Abilify, Anti-Psychotic, Mood disorders, NCLM"
Risperidone,"Risperdal, Anti-Psychotic, Mood Disorders, NCLM"
Lithium,"Lithbod, Anti-Psychotic, Mood Disorders, NCLM"
INDICATION: ANXIETY / SEDATIVE,CLASS: BENZODIAZEPINE
Clonazepam,"Klonopin, Benzodiazepine, Anxiety/Sedative, Schedule IV"
Lorazepam,"Ativan, Benzodiazepine, Anxiety/Sedative, Schedule IV"
Diazepam,"Valium, Benzodiazepine, Sedative/Anti-Anxiety, CIV"
Alprazolam,"Xanax, Benzodiazepine, Anxiety, Schedule IV"
Temazepam,"Restoril, Benzodiazepine, Sedative/Anti anxiety, Schedule IV"
INDICATION: ANXIETY / SEDATIVE,CLASS: OTHERS
Buspirone,"Buspar, Anti-anxiety, Anxiety, NCLM"
Zolpidem Tartate,"Ambien, Sedative, Sleep, Schedule IV"
INDICATION: ADHD,CLASS: STIMULANTS
Mixed Amphetamine Salts,"Adderall, Stimulant, ADHD, Schedule II"
Methylphenidate,"Ritalin/Concerta, Stimulant, ADHD, Schedule II"
Lisdexamfetamine,"Vyvanse, Stimulant, ADHD, Schedule II"
Dexmethylphenidate,"Focalin, Stimulant, ADHD, Schedule II"
INDICATION: ALLERGIES,CLASS: ANTI-HISTAMINE
Loratadine,"Claritin, H1RA / Anti-histamine, Allergies, OTC"
Cetirizine,"Zyrtec, H1RA / Anti-histamine, Allergies, OTC"
Hydroxyzine,"Atarax/Vistaril, H1RA / Anti-histamine, Allergies, NCLM"
Promethazine,"Phenergan, H1RA / Anti-histamine, Nausea / Vomiting / Allergies, NCLM"
Meclizine Dramamine,"Antivert, H1RA / Anti-histamine, Allergies/Motion Sickness, OTC"
Levocetirizine,"Xyzal, H1RA, Anti-histamine, Allergies, OTC"
INDICATION: ALLERGIES,CLASS: OTHERS
Ondansetron,"Zofran, 5HT3 Antagonist, Nausea/Vomiting, NCLM"
Fluticasone,"Flonase, Nasal steroid, Allergic rhinitis, OTC and NCLM as generic"
Mometasome,"Nasonex, Corticosteroid, Allergies / Anti-inflammatory, OTC"
INDICATION: COUGH,CLASS: ANTITUSSIVE
Benzonatate,"Tessalon Perles, Antitussive, Cough, NCLM"
INDICATION: BACTERIAL INFECTIONS,CLASS: MIXED
Amoxicillin,"Amoxil, Penicillin antibiotic, Bacterial infection, NCLM"
Amoxicillin/Clavulanate Potassium,"Augmentin, Penicillin Antibiotic, Bacterial Infection, NCLM"
Azithromycin,"Zithromax, Macrolide Antibiotic, Bacterial infection, NCLM"
Cefdinir,"Omnicef, Cephalosporin Antibiotics, Bacterial Infections, NCLM"
Cephalexin,"Keflex, Cesphalosporin antibiotic, Bacterial Infection, NCLM"
Nitrofurantoin,"Macrobid, Antibiotic, Bacterial Urinary Tract Infection Treatment, NCLM"
Metronidazole,"Flagyl, Antibiotic, Bacterial infection, NCLM"
Bacitracine/Neomycin / Polymyxin B,"Neosporin, Triple Antibiotic, Bacterial infection, OTC"
Levofloxacin,"Levaquin, Fluoroquinolone Antibiotic, Bacterial Infection, NCLM"
Ciprofloxacin,"Cipro, Fluoroquinolone antibiotic, Bacterial infection, NCLM"
Clindamycin,"Cleocin, Lincomycin Antibiotic, Bacterial Infection, NCLM"
Doxycycline,"Doryx, Tetracycline Antibiotic, Bacterial Infections, NCLM"
Sulfamethoxazole/TMP,"Bactrim, Sulfonamide Antibiotic, Bacterial Infection, NCLM"
Mupirocin,"Bactroban, Topical antibiotic, Bacterial infection, NCLM"
INDICATION: VIRAL INFECTIONS,CLASS: ANTI-VIRAL
Valacyclovir,"Valtrex, Anti-viral, Viral infections, NCLM"
Acyclovir,"Zovirax, Anti-viral, Viral infection, NCLM"
Oseltamivir,"Tamiflu, Anti-viral, Influenza treatment, NCLM"
Nirmatrelvir/ritonavir,"Paxlovid, Anti-viral, COVID, NCLM"
INDICATION: FUNGAL INFECTIONS,CLASS: ANTI-FUNGAL
Fluconazole,"Diflucan, Anti-fungal, Fungal infections, NCLM"
INDICATION: ACID REFLUX / GERD,CLASS: PPI (PROTON PUMP INHIBITOR) and H2RA
Omeprazole,"Prilosec, PPI, Acid-Reflux/GERD, OTC and NCLM (strength)"
Pantoprazole Sodium,"Protonix, PPI, Acid reflud/GERD, NCLM"
Esomeprazole,"Nexium, PPI, Acid Reflux/GERD, OTC and NCLM (strength)"
Lansoprazole,"Prevacid, PPI, Acid Reflux/GERD, OTC and NCLM (strength)"
Famotidine,"Pepcid, H2RA, Acid Reflux/GERD, OTC"
INDICATION: DIABETES,CLASS: MIXED
Metformin,"Glucophage, Biguanide, Diabetes medication, NCLM."
Metformin/Sitagliptin,"Janumet, Biguanide/DPA-4 inhibitor, Diabetes agent, NCLM"
Semaglutide,"Ozempic, GLP-1 agonists, Type2 Diabetes (off-label Weight loss), NCLM"
Liraglutide,"Victoza, GLP-1 Agonist, Diabetes Agent, NCLM"
Insulin Regular,"Humulin R/Novolin R, Short acting insulin, Diabetes agent, NCLM"
Insulin Lispro,"Humalog, Short-acting insulin, Diabetes agents, NCLM"
Insulin Aspart,"Novolog, Rapid Acting Insulin, Diabetes Agent, NCLM"
Insulin Glargine,"Lantus, Long-acting insulin, Diabetes agent, NCLM"
Insulin Detemir,"Levemir, Long-acting insulin, Diabetes agent, NCLM"
Glipizide,"Glucotrol, Sulfonlyurea, Diabetes agent, NCLM"
Glimepiride,"Amaryl, Sulfonylurea, Diabetes agent, NCLM"
Glyburide,"Diabeta, Sulfonylurea, Diabetes Agent, NCLM"
Sitagliptin,"Januvia, DPP-4 Inhibitor, Diabetes Agent, NCLM"
Linagliptin,"Tradjenta, DPP-4 Inhibitor, Diabetes Agents, NCLM"
Canagliflozin,"Invokana, SGLT-2 inhibitor, Diabetes agent, NCLM"
Pioglitazone,"Actos, Thiazolidinedione, Diabetes agent, NCLM"
INDICATION: HYPOTHYROIDISM,CLASS: THYROID HORMONE
Levothyroxine,"Synthroid/Levoxyl, Thyroid hormone, Hypothyroidism, NCLM"
Thyroid Extract,"Armour Thyroid, Thyroid hormone, Hypothyroidism, NCLM"
INDICATION: PREGNANCY PREVENTION,CLASS: ORAL CONTRACEPTIVE
Ethinyl Estradiol / Norethindrone,"Gildess/Junel/Loestrin / Microgestin, Oral contraceptive, Pregnancy prevention/Hormone regulation, NCLM"
Ethinyl Estradiol / Norgestimate,"Ortho Tri-Cylen, Oral contraceptive, Pregnancy prevention/hormone regulation, NCLM"
Ethinyl Estradiol / Drosperinone,"Yaz/Yazmin/Gianvi / Nikki, Oral contraceptive, Pregnancy prevention/hormone regulation, NCLM"
Ethinyl Estradiol / Levonorgestrel,"Amethia/Amethyst, Oral contraceptive, Pregnancy prevention/hormone regulation, NCLM"
Ethinyl Estradiol / Desogestrel,"April/Azurette, Oral contraceptive, Pregnancy prevention/hormone regulation, NCLM"
Norethindrone,"Camila/Heather, Oral contraceptive, Pregnancy prevention/hormone regulation, NCLM"
Norgestrel,"Opill, Oral Contraceptive, Pregnancy prevention, OTC"
INDICATION: PREGNANCY PREVENTION,CLASS: VAGINAL CONTRACEPTIVE
Ethinyl Estradiol / Etonogestrel,"Nuvaring, Vaginal Contraceptive, Pregnancy Prevention, NCLM"
INDICATION: HORMONE SUPPLEMENT,CLASS: HORMONES
Estradiol,"Estrace, Female Hormone, Hormone Supplement, NCLM"
Progesterone,"Prometrium, Female Hormone Therapy, Female Hormone Therapy, NCLM"
Testosterone,"AndroGel, Male Hormone Therapy, Hormone Therapy, Schedule III"
INDICATION: SUPPLEMENTS,CLASS: MIXED
Ergocalciferol,"Deltalin, Vitamin D supplement, Vitamin D Supplement, NCLM"
Folic acid,"Folate, Vitamin Supplement, Vitamin Supplement, NCLM"
Cyanocobalamin,"Nascobal, Vitamin B12 Supplement, Vitamin B12 Supplement, NCLM"
Ferrous Sulfate,"Feosol, Iron supplement, Iron supplement, NCLM"
Magnesium,"Uro-Mag, Magnesium Supplementation, Magnesium Supplementation, NCLM"
Potassium,"Klor-Con, electrolyte, electrolyte, NCLM"
INDICATION: MUSCLE RELAXANT,CLASS: MUSCLE RELAXANT
Baclofen,"Lioresal, Muscle Relaxant, Muscle Relaxant, NCLM"
Tizanidine,"Zanaflex, Muscle Relaxant, Muscle Relaxant, NCLM"
INDICATION: GLAUCOMA,CLASS: MIXED
Timolol,"Timoptic, Beta-blocker, Glaucoma, NCLM"
Latanoprost,"Xalatan, Prostaglandin Analog, Glaucoma Treatment, NCLM"
Brimonidine Tartrate,"Alphagan, Alpha agonist, Glaucoma, NCLM"
INDICATION: GOUT,CLASS:
Allopurinol,"Zyloprim, Xanthine Oxidase Inhibitor, Gout treatment, NCLM"
INDICATION: RHEUMATOID ARTHRITIS,CLASS: MIXED
Methotrexate,"Rheumatrex, Anti-Metabolite, Rheumatoid arthritis, Psoriasis, NCLM"
Hydroxychloroquine,"Plaquenil, Anti-malarial, Anti-malarial/Rheumatoid arthritis / Lupus, NCLM"
INDICATION: ENLARGED PROSTATE,CLASS: MIXED
Tamsulosin,"Flomax, Alpha-blocker, Enlarged prostate, NCLM"
Doxazosin,"Cardura, Alpha-1 Blocker, Enlarged Prostate/Anti hypertensive, NCLM"
Terazosin,"Hytrin, Alpha-Blocker, Hypertension/Enlarged Prostate, NCLM"
Finasteride,"Proscar, 5-Alpha Reductase Inhibitor, Enlarged Prostate, NCLM"
INDICATION: OSTEOPOROSIS,CLASS:
Alendronate,"Fosamax, Bisphosphonate, Osteoporosis, NCLM"
INDICATION: OVERREACTIVE BLADDER,CLASS: MIXED
Oxybutynin,"Ditropan, anti-cholinergic, Overactive bladder, NCLM"
Mirabegron,"Myrbetriq, Beta-3 Agonsit, Overactive bladder, NCLM"
INDICATION: CROHN'S / ULECRATIVE COLITIS,CLASS:
Adalimumab,"Humira, TNF-alpha blocker, Chron's/Ulcerative Colitis, NCLM"
INDICATION: BOWEL DISORDERS,CLASS: MIXED
Dicyclomine,"Bentyl, AntiCholinergics, Irritable Bowel Syndrome, NCLM"
Docusate,"Colase, Stool softener, stool softener, OTC"
Polyethylene Glycol 3350,"Miralax, Laxative, Constipation, OTC"
INDICATION: PARKINSON'S DISEASE,CLASS: DOPAMINE AGONIST
Ropinirole,"Requip, Dopamine Agonist, Parkinson's treatment, NCLM"
Pramipexole,"Mirapex, Dopamine Agonist, Parkinson's, NCLM"
Carbidopa / Levodopa,"Sinemet, Dopamine Agonist, Parkinson's, NCLM"
INDICATION: ALZHEIMER'S DISEASE,CLASS: MIXED
Memantine,"Namenda, NMDA Receptor Antagonist, Alzheimer's, NCLM"
Donepezil,"Aricept, Cholinesterase inhibitor, Alzheimer's, NCLM"
INDICATION: ASTHMA,CLASS: MIXED
Budesonide / Formoterol,"Symbicort, Inhaled corticosteroid/Long acting Beta agonist, Asthma treatment, NCLM"
Flucticasone/Salmeterol,"Advair Diskus, Inhaled Corticosteroid/Long acting beta agonist, Asthma treatment, NCLM"
Budesonide,"Pulmicort, Inhaled corticosteroid, asthma treatment, NCLM"
Albuterol,"ProAir HFA / Ventolin HFA, Beta agonist, Bronchodilator/asthma, NCLM"
Montelukast,"Singulair, Leukotriene modulator, Asthma treatment, NCLM"
Tiotropium,"Spiriva, Anti-cholinergics, Bronchodilator/Asthma Treatment, NCLM"
Albuterol / Ipratropium,"Combivent, Inhaled Beta-2 Agonist / AntiCholinergics, Asthma Treatment, NCLM"
Dupilumab,"Dupixent, Interleukin inhibitor, Eczema / Asthma / COPD, NCLM"
,
